"ELEMNTIN","ELEMENTOUT","CONVRULE","DOMAINID","STARTDATE","ENDDATE","SIGN"
"52720_1","F512","INSTRASSET1","TYPINS","1900-01-01","9999-12-31","1"
"52750","F512","INSTRASSET1","TYPINS","1900-01-01","9999-12-31","1"
"52750_1","F512","INSTRASSET1","TYPINS","1900-01-01","9999-12-31","1"
"52230","F5","RTYP17","TYPINS","1900-01-01","9999-12-31","1"
"52230_1","F5","RTYP17","TYPINS","1900-01-01","9999-12-31","1"
"52210","F5","RTYP17","TYPINS","1900-01-01","9999-12-31","1"
"52210_1","F5","RTYP17","TYPINS","1900-01-01","9999-12-31","1"
"52220","F5","RTYP17","TYPINS","1900-01-01","9999-12-31","1"
"52220_1","F5","RTYP17","TYPINS","1900-01-01","9999-12-31","1"
"52230","F5A","RTYP18","TYPINS","1900-01-01","9999-12-31","1"
"52230_1","F5A","RTYP18","TYPINS","1900-01-01","9999-12-31","1"
"52210","F5A","RTYP18","TYPINS","1900-01-01","9999-12-31","1"
"52210_1","F5A","RTYP18","TYPINS","1900-01-01","9999-12-31","1"
"52220","F5A","RTYP18","TYPINS","1900-01-01","9999-12-31","1"
"52220_1","F5A","RTYP18","TYPINS","1900-01-01","9999-12-31","1"
"52340","F522","RTYP20","TYPINS","1900-01-01","9999-12-31","1"
"52340_1","F522","RTYP20","TYPINS","1900-01-01","9999-12-31","1"
"52120","F5","RTYP17","TYPINS","1900-01-01","9999-12-31","1"
"52120_1","F5","RTYP17","TYPINS","1900-01-01","9999-12-31","1"
"52130","F5","RTYP17","TYPINS","1900-01-01","9999-12-31","1"
"52130_1","F5","RTYP17","TYPINS","1900-01-01","9999-12-31","1"
"52140","F5","RTYP17","TYPINS","1900-01-01","9999-12-31","1"
"52140_1","F5","RTYP17","TYPINS","1900-01-01","9999-12-31","1"
"52150","F5","RTYP17","TYPINS","1900-01-01","9999-12-31","1"
"52150_1","F5","RTYP17","TYPINS","1900-01-01","9999-12-31","1"
"52160","F5","RTYP17","TYPINS","1900-01-01","9999-12-31","1"
"52160_1","F5","RTYP17","TYPINS","1900-01-01","9999-12-31","1"
"52170","F5","RTYP17","TYPINS","1900-01-01","9999-12-31","1"
"52170_1","F5","RTYP17","TYPINS","1900-01-01","9999-12-31","1"
"52180","F5A","RTYP18","TYPINS","1900-01-01","9999-12-31","1"
"52180_1","F5A","RTYP18","TYPINS","1900-01-01","9999-12-31","1"
"52190","F5A","RTYP18","TYPINS","1900-01-01","9999-12-31","1"
"52190_1","F5A","RTYP18","TYPINS","1900-01-01","9999-12-31","1"
"52200","F5A","RTYP18","TYPINS","1900-01-01","9999-12-31","1"
"52200_1","F5A","RTYP18","TYPINS","1900-01-01","9999-12-31","1"
"52150","F5A","RTYP18","TYPINS","1900-01-01","9999-12-31","1"
"52150_1","F5A","RTYP18","TYPINS","1900-01-01","9999-12-31","1"
"52160","F5A","RTYP18","TYPINS","1900-01-01","9999-12-31","1"
"52160_1","F5A","RTYP18","TYPINS","1900-01-01","9999-12-31","1"
"52170","F5A","RTYP18","TYPINS","1900-01-01","9999-12-31","1"
"52170_1","F5A","RTYP18","TYPINS","1900-01-01","9999-12-31","1"
"52180","F5","RTYP17","TYPINS","1900-01-01","9999-12-31","1"
"52180_1","F5","RTYP17","TYPINS","1900-01-01","9999-12-31","1"
"52190","F5","RTYP17","TYPINS","1900-01-01","9999-12-31","1"
"52190_1","F5","RTYP17","TYPINS","1900-01-01","9999-12-31","1"
"52200","F5","RTYP17","TYPINS","1900-01-01","9999-12-31","1"
"52200_1","F5","RTYP17","TYPINS","1900-01-01","9999-12-31","1"
"52330","F5","RTYP17","TYPINS","1900-01-01","9999-12-31","1"
"52330_1","F5","RTYP17","TYPINS","1900-01-01","9999-12-31","1"
"52140","F512","INSTRASSET1","TYPINS","1900-01-01","9999-12-31","1"
"52140_1","F512","INSTRASSET1","TYPINS","1900-01-01","9999-12-31","1"
"52170","F512","INSTRASSET1","TYPINS","1900-01-01","9999-12-31","1"
"52170_1","F512","INSTRASSET1","TYPINS","1900-01-01","9999-12-31","1"
"52200","F512","INSTRASSET1","TYPINS","1900-01-01","9999-12-31","1"
"52200_1","F512","INSTRASSET1","TYPINS","1900-01-01","9999-12-31","1"
"52230","F512","INSTRASSET1","TYPINS","1900-01-01","9999-12-31","1"
"52230_1 ","F512","INSTRASSET1","TYPINS","1900-01-01","9999-12-31","1"
"52120","F5A","RTYP18","TYPINS","1900-01-01","9999-12-31","1"
"52120_1","F5A","RTYP18","TYPINS","1900-01-01","9999-12-31","1"
"52130","F5A","RTYP18","TYPINS","1900-01-01","9999-12-31","1"
"52130_1","F5A","RTYP18","TYPINS","1900-01-01","9999-12-31","1"
"52140","F5A","RTYP18","TYPINS","1900-01-01","9999-12-31","1"
"52140_1","F5A","RTYP18","TYPINS","1900-01-01","9999-12-31","1"
"52120","F511","INSTRASSET1","TYPINS","1900-01-01","9999-12-31","1"
"52120_1","F511","INSTRASSET1","TYPINS","1900-01-01","9999-12-31","1"
"52130","F511","INSTRASSET1","TYPINS","1900-01-01","9999-12-31","1"
"52130_1","F511","INSTRASSET1","TYPINS","1900-01-01","9999-12-31","1"
"52150","F511","INSTRASSET1","TYPINS","1900-01-01","9999-12-31","1"
"52150_1","F511","INSTRASSET1","TYPINS","1900-01-01","9999-12-31","1"
"52160","F511","INSTRASSET1","TYPINS","1900-01-01","9999-12-31","1"
"52160_1","F511","INSTRASSET1","TYPINS","1900-01-01","9999-12-31","1"
"52180","F511","INSTRASSET1","TYPINS","1900-01-01","9999-12-31","1"
"52180_1","F511","INSTRASSET1","TYPINS","1900-01-01","9999-12-31","1"
"52190","F511","INSTRASSET1","TYPINS","1900-01-01","9999-12-31","1"
"52190_1","F511","INSTRASSET1","TYPINS","1900-01-01","9999-12-31","1"
"52210","F511","INSTRASSET1","TYPINS","1900-01-01","9999-12-31","1"
"52210_1","F511","INSTRASSET1","TYPINS","1900-01-01","9999-12-31","1"
"52220","F511","INSTRASSET1","TYPINS","1900-01-01","9999-12-31","1"
"52220_1 ","F511","INSTRASSET1","TYPINS","1900-01-01","9999-12-31","1"
"52330","F52","","TYPINS","1900-01-01","9999-12-31","1"
"52330_1","F52","","TYPINS","1900-01-01","9999-12-31","1"
"52340","F5","RTYP17","TYPINS","1900-01-01","9999-12-31","1"
"52850","F4","RTYP36","TYPINS","1900-01-01","9999-12-31","1"
"52850_1","F4","RTYP36","TYPINS","1900-01-01","9999-12-31","1"
"52860","F4","RTYP36","TYPINS","1900-01-01","9999-12-31","1"
"52860_1","F4","RTYP36","TYPINS","1900-01-01","9999-12-31","1"
"52870","F4","RTYP36","TYPINS","1900-01-01","9999-12-31","1"
"524870_1","F4","RTYP36","TYPINS","1900-01-01","9999-12-31","1"
"52880","F4","RTYP36","TYPINS","1900-01-01","9999-12-31","1"
"52880_1","F4","RTYP36","TYPINS","1900-01-01","9999-12-31","1"
"52620","FL","RTYP26","TYPINS","1900-01-01","9999-12-31","1"
"52620_1","FL","RTYP26","TYPINS","1900-01-01","9999-12-31","1"
"52630","FL","RTYP26","TYPINS","1900-01-01","9999-12-31","1"
"52630_1","FL","RTYP26","TYPINS","1900-01-01","9999-12-31","1"
"52880","FL","RTYP26","TYPINS","1900-01-01","9999-12-31","1"
"52880_1","FL","RTYP26","TYPINS","1900-01-01","9999-12-31","1"
"52960","FL","RTYP26","TYPINS","1900-01-01","9999-12-31","1"
"52960_1","FL","RTYP26","TYPINS","1900-01-01","9999-12-31","1"
"52585","FL","RTYP26","TYPINS","1900-01-01","9999-12-31","1"
"52585_1","FL","RTYP26","TYPINS","1900-01-01","9999-12-31","1"
"52590","FL","RTYP26","TYPINS","1900-01-01","9999-12-31","1"
"52590_1","FL","RTYP26","TYPINS","1900-01-01","9999-12-31","1"
"52850","FL","RTYP26","TYPINS","1900-01-01","9999-12-31","1"
"52850_1","FL","RTYP26","TYPINS","1900-01-01","9999-12-31","1"
"52930","FL","RTYP26","TYPINS","1900-01-01","9999-12-31","1"
"52930_1","FL","RTYP26","TYPINS","1900-01-01","9999-12-31","1"
"52925","F5B","RTYP37","TYPINS","1900-01-01","9999-12-31","1"
"52925_1","F5B","RTYP37","TYPINS","1900-01-01","9999-12-31","1"
"52600","FL","RTYP26","TYPINS","1900-01-01","9999-12-31","1"
"52600_1","FL","RTYP26","TYPINS","1900-01-01","9999-12-31","1"
"52610","FL","RTYP26","TYPINS","1900-01-01","9999-12-31","1"
"52610_1","FL","RTYP26","TYPINS","1900-01-01","9999-12-31","1"
"52860","FL","RTYP26","TYPINS","1900-01-01","9999-12-31","1"
"52860_1","FL","RTYP26","TYPINS","1900-01-01","9999-12-31","1"
"52940","FL","RTYP26","TYPINS","1900-01-01","9999-12-31","1"
"52940_1","FL","RTYP26","TYPINS","1900-01-01","9999-12-31","1"
"52870","FL","RTYP26","TYPINS","1900-01-01","9999-12-31","1"
"52870_1","FL","RTYP26","TYPINS","1900-01-01","9999-12-31","1"
"52950","FL","RTYP26","TYPINS","1900-01-01","9999-12-31","1"
"52950_1","FL","RTYP26","TYPINS","1900-01-01","9999-12-31","1"
"52930","F81","","TYPINS","1900-01-01","9999-12-31","1"
"52930_1","F81","","TYPINS","1900-01-01","9999-12-31","1"
"52940","F81","","TYPINS","1900-01-01","9999-12-31","1"
"52940_1","F81","","TYPINS","1900-01-01","9999-12-31","1"
"52950","F81","","TYPINS","1900-01-01","9999-12-31","1"
"52950_1","F81","","TYPINS","1900-01-01","9999-12-31","1"
"52960","F81","","TYPINS","1900-01-01","9999-12-31","1"
"52960_1","F81","","TYPINS","1900-01-01","9999-12-31","1"
"52925","F512","INSTRASSET1","TYPINS","1900-01-01","9999-12-31","1"
"52925_1","F512","INSTRASSET1","TYPINS","1900-01-01","9999-12-31","1"
"52620","F3","RTYP35","TYPINS","1900-01-01","9999-12-31","1"
"52620_1","F3","RTYP35","TYPINS","1900-01-01","9999-12-31","1"
"52630","F3","RTYP35","TYPINS","1900-01-01","9999-12-31","1"
"52630_1","F3","RTYP35","TYPINS","1900-01-01","9999-12-31","1"
"52585","F3","RTYP35","TYPINS","1900-01-01","9999-12-31","1"
"52585_1","F3","RTYP35","TYPINS","1900-01-01","9999-12-31","1"
"52590","F3","RTYP35","TYPINS","1900-01-01","9999-12-31","1"
"52590_1","F3","RTYP35","TYPINS","1900-01-01","9999-12-31","1"
"52925","F5","RTYP17","TYPINS","1900-01-01","9999-12-31","1"
"52925_1","F5","RTYP17","TYPINS","1900-01-01","9999-12-31","1"
"52600","F3","RTYP35","TYPINS","1900-01-01","9999-12-31","1"
"52600_1","F3","RTYP35","TYPINS","1900-01-01","9999-12-31","1"
"52610","F3","RTYP35","TYPINS","1900-01-01","9999-12-31","1"
"52610_1","F3","RTYP35","TYPINS","1900-01-01","9999-12-31","1"
"52020","FL","RTYP26","TYPINS","1900-01-01","9999-12-31","1"
"52020_1","FL","RTYP26","TYPINS","1900-01-01","9999-12-31","1"
"52030","FL","RTYP26","TYPINS","1900-01-01","9999-12-31","1"
"52030_1","FL","RTYP26","TYPINS","1900-01-01","9999-12-31","1"
"52350","FL","RTYP26","TYPINS","1900-01-01","9999-12-31","1"
"52350_1","FL","RTYP26","TYPINS","1900-01-01","9999-12-31","1"
"52460","FL","RTYP26","TYPINS","1900-01-01","9999-12-31","1"
"52460_1","FL","RTYP26","TYPINS","1900-01-01","9999-12-31","1"
"52060","FL","RTYP26","TYPINS","1900-01-01","9999-12-31","1"
"52060_1","FL","RTYP26","TYPINS","1900-01-01","9999-12-31","1"
"52070","FL","RTYP26","TYPINS","1900-01-01","9999-12-31","1"
"52070_1","FL","RTYP26","TYPINS","1900-01-01","9999-12-31","1"
"52380","FL","RTYP26","TYPINS","1900-01-01","9999-12-31","1"
"52380_1","FL","RTYP26","TYPINS","1900-01-01","9999-12-31","1"
"52490","FL","RTYP26","TYPINS","1900-01-01","9999-12-31","1"
"52490_1","FL","RTYP26","TYPINS","1900-01-01","9999-12-31","1"
"52520","F51B","RTYP24","TYPINS","1900-01-01","9999-12-31","1"
"52520_1","F51B","RTYP24","TYPINS","1900-01-01","9999-12-31","1"
"52020","F3","RTYP22","TYPINS","1900-01-01","9999-12-31","1"
"52020_1","F3","RTYP22","TYPINS","1900-01-01","9999-12-31","1"
"52060","F3","RTYP22","TYPINS","1900-01-01","9999-12-31","1"
"52060_1","F3","RTYP22","TYPINS","1900-01-01","9999-12-31","1"
"52000","F3","RTYP22","TYPINS","1900-01-01","9999-12-31","1"
"52000_1","F3","RTYP22","TYPINS","1900-01-01","9999-12-31","1"
"52030","F3","RTYP22","TYPINS","1900-01-01","9999-12-31","1"
"52030_1","F3","RTYP22","TYPINS","1900-01-01","9999-12-31","1"
"52070","F3","RTYP22","TYPINS","1900-01-01","9999-12-31","1"
"52070_1","F3","RTYP22","TYPINS","1900-01-01","9999-12-31","1"
"52010","F3","RTYP22","TYPINS","1900-01-01","9999-12-31","1"
"52010_1","F3","RTYP22","TYPINS","1900-01-01","9999-12-31","1"
"52370","FL","RTYP26","TYPINS","1900-01-01","9999-12-31","1"
"52370_1","FL","RTYP26","TYPINS","1900-01-01","9999-12-31","1"
"52480","FL","RTYP26","TYPINS","1900-01-01","9999-12-31","1"
"52480_1","FL","RTYP26","TYPINS","1900-01-01","9999-12-31","1"
"52000","FL","RTYP26","TYPINS","1900-01-01","9999-12-31","1"
"52000_1","FL","RTYP26","TYPINS","1900-01-01","9999-12-31","1"
"52010","FL","RTYP26","TYPINS","1900-01-01","9999-12-31","1"
"52010_1","FL","RTYP26","TYPINS","1900-01-01","9999-12-31","1"
"52360","FL","RTYP26","TYPINS","1900-01-01","9999-12-31","1"
"52360_1","FL","RTYP26","TYPINS","1900-01-01","9999-12-31","1"
"52470","FL","RTYP26","TYPINS","1900-01-01","9999-12-31","1"
"52470_1","FL","RTYP26","TYPINS","1900-01-01","9999-12-31","1"
"52350","F4","RTYP23","TYPINS","1900-01-01","9999-12-31","1"
"52350_1","F4","RTYP23","TYPINS","1900-01-01","9999-12-31","1"
"52380","F4","RTYP23","TYPINS","1900-01-01","9999-12-31","1"
"52380_1","F4","RTYP23","TYPINS","1900-01-01","9999-12-31","1"
"52360","F4","RTYP23","TYPINS","1900-01-01","9999-12-31","1"
"52360_1","F4","RTYP23","TYPINS","1900-01-01","9999-12-31","1"
"52370","F4","RTYP23","TYPINS","1900-01-01","9999-12-31","1"
"52370_1","F4","RTYP23","TYPINS","1900-01-01","9999-12-31","1"
"52460","F81","RTYP25","TYPINS","1900-01-01","9999-12-31","1"
"52460_1","F81","RTYP25","TYPINS","1900-01-01","9999-12-31","1"
"52470","F81","RTYP25","TYPINS","1900-01-01","9999-12-31","1"
"52470_1","F81","RTYP25","TYPINS","1900-01-01","9999-12-31","1"
"52480","F81","RTYP25","TYPINS","1900-01-01","9999-12-31","1"
"52480_1","F81","RTYP25","TYPINS","1900-01-01","9999-12-31","1"
"52490","F81","RTYP25","TYPINS","1900-01-01","9999-12-31","1"
"52490_1","F81","RTYP25","TYPINS","1900-01-01","9999-12-31","1"
